"study","group","trial","condition","HREmbed","HRDelay","HRRadius","respEmbed","respDelay","respRadius","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_LAM","HR_TT","resp_RR","resp_DET","resp_NRLINE","resp_maxL","resp_L","resp_ENTR","resp_LAM","resp_TT","pair"
"1","3","2","TurnTaking",NA,NA,NA,2,9,0.386328149010134,3.67206976474576,95.9156007302393,15854,188,10.0412514192002,2.70727407187763,98.5298813662463,13.298609416931,3.35486090557465,75.8181269793395,38021,31,3.17350937639725,1.46455358561758,86.0189513899362,3.86095442238267,"Real"
"1","4","1","Synchronous",NA,NA,NA,NA,NA,NA,1.20778433158574,91.4058605217969,6773,88,4.87272995718293,1.96287156134104,97.5128787459148,8.69548036552235,3.84257561804827,85.6659966361734,27212,31,3.83705718065559,1.81100516973063,89.9569266111499,4.18440636568332,"Real"
"1","4","3","TurnTaking",NA,NA,NA,2,24,0.367950128709489,1.17202246238812,90.0867061069897,5672,90,5.07404795486601,2.05693016125464,95.9151093999437,6.74191419141914,3.53381428717723,86.1213020060885,27034,27,3.26492564918251,1.51317566819925,92.3210522207478,3.651371898275,"Real"
"2","10","1","Conversation",20,0,0.367044894068979,NA,NA,NA,5.42677260823979,97.0179775966792,19397,222,14.7483631489406,3.16138432065356,98.4905058890958,17.5276721588509,3.59084640838757,82.1075654813572,52010,28,3.21915016343011,1.51656449418905,91.5429619494588,3.98812118104517,"Real"
"2","10","2","TurnTaking",NA,NA,NA,2,0,0.195109803724308,2.51266158602066,95.0119756531675,15679,138,8.27329549078385,2.5406640320878,96.6512118482058,9.52056277056277,3.59789028770549,87.1349351240499,52297,42,3.40417232346024,1.62427697658304,91.3598253659826,4.02388548762611,"Real"
"2","10","3","Synchronous",NA,NA,NA,15,9,2.6579612259346,3.43498490216637,95.7121119576515,18500,152,9.65616216216216,2.67272505197518,97.6559402492472,11.3216348841543,4.10052390613397,85.4248977909094,54377,40,3.65810912702061,1.74217941631739,89.5231387638712,4.22899803217495,"Real"
"2","5","1","Synchronous",11,29,1.68996122576777,NA,NA,NA,11.7482439232761,97.4059603852444,39895,125,15.585637297907,2.88529981412088,97.7333680061659,17.3772770319202,5.55332401545498,89.3415695277718,64435,52,4.37253045704974,2.01088417480116,95.836451502429,6.19011142061281,"Real"
"2","5","2","TurnTaking",16,7,1.72395495329932,2,22,0.376971562124043,7.62671110161458,93.9334269622251,27297,128,14.2602483789427,2.99111456416334,94.9792713355631,16.5522519870474,3.59669282822144,82.6585718132635,50784,37,3.32439350976686,1.53797087501583,91.3995446644961,3.84057851749748,"Real"
"2","5","3","Conversation",NA,NA,NA,2,7,0.378633559775181,1.01421517122933,90.7744792044712,6569,50,7.6151621251332,2.61608634576903,93.1389271975031,9.45945447843715,3.82343530346529,85.5836146664763,51772,48,3.58919879471529,1.67859594713193,91.776935441528,4.17829359837286,"Real"
"2","6","1","TurnTaking",NA,NA,NA,2,29,0.376122791553765,0.86663239816393,90.4733589585678,5828,90,7.31005490734386,2.40337582162597,93.7904818535114,9.12311505887213,4.14234693958412,84.6606102086885,55104,37,3.61403890824623,1.70276699838644,91.3004663500984,4.66205743807932,"Real"
"2","6","2","Conversation",NA,NA,NA,3,8,0.680741675263421,0.730441785782841,95.2631711557358,2570,78,14.711673151751,2.8962616753095,96.3012421577767,24.981045751634,5.12817306952362,84.4646358507347,69272,41,3.55081418177619,1.69103291064186,89.4122171743706,4.2059184596498,"Real"
"2","6","3","Synchronous",NA,NA,NA,2,18,0.386991678957756,0.665125504250343,87.2717210846707,7037,42,4.48202358959784,1.95695127292843,98.1737686773658,12.7534148094896,3.744508635708,84.9933455292773,41313,48,4.37462784111539,1.99752633337893,90.4984504253688,5.41658456948237,"Real"
"2","7","1","Conversation",NA,NA,NA,2,25,0.346600007718887,2.99886207222115,96.1342784375096,12963,162,12.0840854740415,2.95818784844737,97.7323636809967,16.0308033017918,4.59345458080201,86.0788658529105,59511,37,3.77299994958915,1.79782890373341,94.7467490645893,5.38032001741591,"Real"
"2","7","2","Synchronous",NA,NA,NA,NA,NA,NA,4.77176937923399,96.082568064271,20686,206,12.0429275838732,2.8542269615601,97.9882519467596,14.1822596851624,4.20706258081751,81.9292943668221,58395,31,3.35189656648686,1.59036061565651,93.1487698090462,5.59267170968309,"Real"
"2","8","1","TurnTaking",11,0,0.310821035731404,3,19,0.748650208352983,9.0027516024942,98.416092564957,22766,188,21.1465343055434,3.43272973994431,99.1759511008443,30.2436880493735,4.25374589099702,83.6469239144384,57811,48,3.49509608897961,1.62915659294242,94.084625988897,4.62133474317784,"Real"
"2","8","2","Synchronous",11,22,1.65233126055593,17,0,0.353384235170673,10.211093608777,95.8814114695418,26468,202,20.0987985491915,3.2925463819963,96.4437499324112,27.2271408945199,4.0100100568987,72.4845860633421,50544,21,3.26564973092751,1.5480580116694,78.2861107695551,3.76955933350249,"Real"
"2","8","3","Conversation",10,7,1.33234448673155,3,23,0.704660822135904,8.70865349629828,98.9048796466536,15895,307,29.4437244416483,3.76484320733525,99.4196834252626,47.984904120767,4.06428314704327,74.6483938335687,57164,40,3.01390735427892,1.36459343896297,88.4470402689798,3.8856762158561,"Real"
"2","9","1","Synchronous",NA,NA,NA,14,6,2.54902292472682,3.1817991920952,95.8226566792955,17756,168,9.32997296688443,2.6112526680262,97.3167134222171,10.3446876537137,3.75725805727343,77.5846796304889,52445,25,3.15639241109734,1.47811469503301,94.8875859450795,5.11120929058319,"Real"
"2","9","2","Conversation",NA,NA,NA,NA,NA,NA,1.9360047674076,94.1156339715193,12840,104,7.71059190031153,2.51949266821102,95.9322775063217,8.60315430520034,3.54525489950233,73.7358685501977,50509,28,2.93904056702766,1.3214242999304,88.8274622002345,3.63862212094083,"Real"
"2","9","3","TurnTaking",17,0,0.367944492881511,2,29,0.386281813859564,1.90230679291168,93.6718168009829,12760,105,7.58793103448276,2.51777473199807,96.3613672203787,9.15291306745084,3.35116080489705,73.5557167029248,46853,32,2.98759951337161,1.34970638763128,90.0547550735147,3.95961276310621,"Real"
"1","3","2","TurnTaking",NA,NA,NA,NA,NA,NA,0.0870820349938804,0.0508130081300813,1,2,2,0,9.34959349593496,2.09090909090909,3.31352172699531,6.74564043185332,5212,4,2.03434382194935,0.150671409251931,9.34006858248029,2.03337950138504,"Shuffle"
"1","4","1","Synchronous",NA,NA,NA,NA,NA,NA,0.0253893620914412,NA,0,0,0,NA,0,0,3.51511257546987,7.00730057938259,3834,4,2.0378195096505,0.16233330584456,9.60555346284238,2.03341560660718,"Shuffle"
"1","4","3","TurnTaking",NA,NA,NA,NA,NA,NA,0.0260473893728853,NA,0,0,0,NA,0,0,3.64715094670763,7.12172063342,3696,4,2.03814935064935,0.163289696491031,7.92909477664855,2.04810744810745,"Shuffle"
"2","10","1","Conversation",NA,NA,NA,NA,NA,NA,0.02394378198754,NA,0,0,0,NA,0,0,3.4397023679233,6.68919264833871,6425,5,2.0336186770428,0.147874228845325,9.79265857779143,2.09667872410391,"Shuffle"
"2","10","2","TurnTaking",NA,NA,NA,NA,NA,NA,0.0289128989257689,NA,0,0,0,NA,0,0,3.44854243646729,6.7547693941746,6486,5,2.03946962688868,0.167516308686854,7.81179786755995,2.04409406734367,"Shuffle"
"2","10","3","Synchronous",NA,NA,NA,NA,NA,NA,0.0257105791211325,0.143163922691482,1,2,2,0,1.5748031496063,2,3.97516046397329,7.73244970917484,8553,4,2.04080439611832,0.172015348095919,13.0621032440406,2.06426771212546,"Shuffle"
"2","5","1","Synchronous",NA,NA,NA,NA,NA,NA,0.766016982233198,1.24933929172072,259,3,2.00772200772201,0.0452494973011154,7.67622891739945,2.00564971751412,4.77953626268317,9.12845642282114,12119,4,2.04439310174107,0.183490763287888,14.8120037580826,2.14433539577555,"Shuffle"
"2","5","2","TurnTaking",NA,NA,NA,NA,NA,NA,0.488206537112586,1.53805556602707,204,2,2,0,8.1501866023297,2.04347826086957,3.40411316766951,6.67325370262119,6336,4,2.03598484848485,0.156146588530754,9.96073643751714,2.07668248490078,"Shuffle"
"2","5","3","Conversation",NA,NA,NA,NA,NA,NA,0.031802348404665,NA,0,0,0,NA,0,0,3.56615761137826,6.86925648483292,6834,4,2.03555750658472,0.154686608737903,8.16597616919575,2.02114397457834,"Shuffle"
"2","6","1","TurnTaking",NA,NA,NA,NA,NA,NA,0.0216616690233164,NA,0,0,0,NA,0,0,3.67597168994463,7.40034587323411,7574,4,2.03960918933192,0.168106514505342,9.23270753591668,2.06150390416087,"Shuffle"
"2","6","2","Conversation",NA,NA,NA,NA,NA,NA,0.0054660286320518,NA,0,0,0,NA,0,0,4.35655130964207,8.57010044665414,10364,4,2.04573523736009,0.18772758699467,12.8256432021666,2.08777470719832,"Shuffle"
"2","6","3","Synchronous",NA,NA,NA,NA,NA,NA,0.0330170214340099,NA,0,0,0,NA,0,0,3.23930400132848,6.40554498505028,5801,4,2.03120151697983,0.139828039521994,8.41696113074205,2.0396522197339,"Shuffle"
"2","7","1","Conversation",NA,NA,NA,NA,NA,NA,0.0309005457010605,0.476474091721263,4,2,2,0,0.119118522930316,2,4.16016795425846,8.18944899954708,9469,4,2.04319357904742,0.179728395239258,10.4489868482876,2.07402117291212,"Shuffle"
"2","7","2","Synchronous",NA,NA,NA,NA,NA,NA,0.038869536939035,0.0946969696969697,1,2,2,0,1.04166666666667,2,3.60449392456604,7.30477604940202,7328,4,2.04039301310044,0.170752350430692,11.5956968654733,2.08476064997804,"Shuffle"
"2","8","1","TurnTaking",NA,NA,NA,NA,NA,NA,0.0772789704578636,0.0476303881876637,1,2,2,0,1.0478685401286,2,3.45139520759105,6.75377817688297,6502,4,2.03583512765303,0.155714804282666,8.41760462054961,2.06199225096863,"Shuffle"
"2","8","2","Synchronous",NA,NA,NA,NA,NA,NA,0.243615558930874,0.0906549822467326,6,2,2,0,0.445720329379769,2.03448275862069,3.88128316236371,7.50297178842681,8105,4,2.04034546576188,0.170589167583767,9.68031723274321,2.07326790399378,"Shuffle"
"2","8","3","Conversation",NA,NA,NA,NA,NA,NA,0.0558197469394381,0.527530497856907,8,2,2,0,2.83547642598088,2,3.89003518241622,7.6929693123226,8309,5,2.04525213623781,0.185861958278965,10.7748649859893,2.05207345460816,"Shuffle"
"2","9","1","Synchronous",NA,NA,NA,NA,NA,NA,0.0328513842027356,NA,0,0,0,NA,0,0,4.17629843789649,7.94867578291357,9242,4,2.0397100194763,0.168437165608643,10.4575411432836,2.05408315388438,"Shuffle"
"2","9","2","Conversation",NA,NA,NA,NA,NA,NA,0.0203549753099303,0.180831826401447,1,2,2,0,0,NA,3.60401846271208,7.21241467597637,7255,4,2.03459682977257,0.151355056076282,10.0620049740791,2.07277302466029,"Shuffle"
"2","9","3","TurnTaking",NA,NA,NA,NA,NA,NA,0.0242934605868969,NA,0,0,0,NA,0,0,3.57288451612687,6.99334131783748,6971,4,2.03543250609669,0.154350464670831,9.98654463189957,2.08521148502624,"Shuffle"
